name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
millennium force,"6,595 ft (2,010 m)",93 mph (150 km/h),cedar point,operating,"may 13, 2000",steel,intamin,48–78[1] in (122–198 cm),giga coaster,310 ft (94 m),0.0,cable lift hill,"us$25,000,000",3 trains with 9 cars. riders are arranged 2 across in 2 rows for a total of 36 riders per train.,millennium midway,2:20,"1,300 riders per hour",4.5,werner stengel,80°,300 ft (91 m),"may 11, 2000",fast lane available,giant wheel,out and back,fastrack available,"may 11, 2000","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,t-bars with seatbelt,das große lego-rennen,2000,41.4817,-82.6881,steel,2000-05-13,93 mph,150 km/h,93.0,mph,93.0,310.0,ft,91.2,0,4.5,149.66862
leviathan (canada's wonderland),"1,672 m (5,486 ft)",148 km/h (92 mph),canada's wonderland,operating,6 may 2012[2],steel,bolliger & mabillard,137–203 cm (4 ft 6 in–6 ft 8 in),hyper coaster,93.3 m (306 ft),0.0,chain lift hill,"us$28,000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,medieval faire,3:28,1650 riders per hour,4.5,werner stengel[3],80°,93.3 m (306 ft),27 april 2012[1],fast lane available,mine train through nature's wonderland,out and back,fastrack available,27 april 2012[1],"september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,lap bar and seat belt,das große lego-rennen,2012,43.8445,-79.5424,steel,2012-05-06,148 km/h,92 mph,148.0,km/h,92.0,93.3,m,306.1,0,4.5,148.05928
orion (roller coaster),"5,321 ft (1,622 m)",91 mph (146 km/h),kings island,operating,"july 2, 2020",steel,bolliger & mabillard,54 in (137 cm),hyper coaster,287 ft (87 m),0.0,chain lift hill,$30 million,3 trains with 8 cars. riders are arranged 4 across in a single row for a total of 32 riders per train.,area 72,3:00,"1,650 riders per hour",4,werner stengel,85[1]°,300 ft (91 m),"july 1, 2020",fast lane available,firehawk dinosaurs alive!,twister,fastrack available,"july 1, 2020","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2020,39.3427,-84.2627,steel,2020-07-02,91 mph,146 km/h,91.0,mph,91.0,287.0,ft,91.2,0,4.0,146.44994
intimidator 305,"5,100 ft (1,554 m)",90 mph (145 km/h),kings dominion,operating,"april 2, 2010",steel,intamin,54–78 in (137–198 cm),giga coaster,305 ft (93 m),0.0,cable lift hill,$25 million[1][2],2 trains with 8 cars. riders are arranged 2 across in 2 rows for a total of 32 riders per train.,jungle x-pedition,3:00,"1,350 riders per hour",4,werner stengel,85°,300 ft (91.4 m),"april 1, 2010",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 1, 2010","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2010,37.8375,-77.4397,steel,2010-04-02,90 mph,145 km/h,90.0,mph,90.0,305.0,ft,91.2,0,4.0,144.8406
hyperion (roller coaster),"1,450 m (4,760 ft)",142 km/h (88 mph),energylandia,operating,14 july 2018,steel,intamin,140–195[3] cm (4 ft 7 in–6 ft 5 in),mega coaster,77 m (253 ft),1.0,chain lift hill[2],$10 million,2 trains with 7 cars. riders are arranged 4 across in a single row for a total of 28 riders per train.,extreme zone,1:30,"1,300 riders per hour",4.8[2],werner stengel,85°,82 m (269 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2018,40.2898,-76.6536,steel,2018-07-14,142 km/h,88 mph,142.0,km/h,88.2,77.0,m,252.6,1,4.8,141.943788
steel phantom,"3,200 ft (980 m)",85 mph (137 km/h),kennywood,operating,"may 10, 1991",steel,d. h. morgan manufacturing,48 in (122 cm),hyper coaster,160 ft (49 m),0.0,chain lift hill,$4.6 million,2 trains with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,lost kennywood,1:57,1400 riders per hour,3.5,werner stengel,52°,228 ft (69 m),"april 29, 2005",fast lane available,laser loop,terrain mega coaster,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1991,40.389,-79.866,steel,1991-05-10,85 mph,137 km/h,85.0,mph,85.0,160.0,ft,91.2,0,3.5,136.7939
goliath (six flags magic mountain),"4,500 ft (1,400 m)",85 mph (137 km/h),six flags magic mountain,operating,"february 11, 2000",steel,giovanola,48 in (122 cm),mega coaster,235 ft (72 m),0.0,chain lift hill,$30 million,3 trains with 5 cars. riders are arranged 2 across in 3 rows for a total of 30 riders per train.,goliath plaza,3:00,1600 riders per hour,4,werner stengel,61°,255 ft (78 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2000,34.4269,-118.5969,steel,2000-02-11,85 mph,137 km/h,85.0,mph,85.0,235.0,ft,91.2,0,4.0,136.7939
titan (six flags over texas),"5,312 ft (1,619 m)",85 mph (137 km/h),six flags over texas,operating,"april 27, 2001",steel,giovanola,48 in (122 cm),hyper coaster,245 ft (75 m),0.0,chain lift hill,$10 million,3 trains with 5 cars. riders are arranged 2 across in 3 rows for a total of 30 riders per train.,texas,3:30,1600 riders per hour,4,werner stengel,90°,255 ft (78 m),"april 26, 2001",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 26, 2001","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2001,32.7556,-97.0742,steel,2001-04-27,85 mph,137 km/h,85.0,mph,85.0,245.0,ft,91.2,0,4.0,136.7939
phantom's revenge,"3,200 ft (980 m)",85 mph (137 km/h),kennywood,operating,"may 10, 1991",steel,d. h. morgan manufacturing,48 in (122 cm),hyper coaster,160 ft (49 m),0.0,chain lift hill,$4.6 million,2 trains with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,lost kennywood,1:57,1400 riders per hour,3.5,werner stengel,52°,228 ft (69 m),"april 29, 2005",fast lane available,laser loop,terrain mega coaster,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2001,40.389,-79.866,steel,1991-05-10,85 mph,137 km/h,85.0,mph,85.0,160.0,ft,91.2,0,3.5,136.7939
furius baco,"2,788.75 ft (850.01 m)",83.9 mph (135.0 km/h),portaventura park,operating,"june 5, 2007",steel – launched,intamin,140–195 cm (4 ft 7 in–6 ft 5 in),wing rider coaster accelerator coaster,46 ft (14 m),1.0,hydraulic launch,"€15,000,000",3 trains with 6 cars. riders are arranged 4 across in a single row for a total of 24 riders per train.,mediterrània,55 sec.,1200 riders per hour,4.7,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0-83.9 mph (0-135 km/h) in 3 seconds,single lap bar,das große lego-rennen,2007,41.0847,1.1564,steel,2007-06-05,83.9 mph,135.0 km/h,83.9,mph,83.9,46.0,ft,91.2,1,4.7,135.023626
shambhala (roller coaster),"1,564 m (5,131 ft)",134 km/h (83 mph),portaventura park,operating,12 may 2012,other,bolliger & mabillard,55 in (140 cm),hyper coaster,76 m (249 ft),0.0,chain lift hill,$10 million,3 trains with 8 cars. riders are arranged 2 across in 2 rows for a total of 32 riders per train.,china,3:00,"1,680 riders per hour",3.8,werner stengel,77.4°,78 m (256 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,41.0847,1.1564,other,2012-05-12,134 km/h,83 mph,134.0,km/h,83.3,76.0,m,249.3,0,3.8,134.058022
xcelerator,"2,202 ft (671 m)",82 mph (132 km/h),knott's berry farm,operating,"june 22, 2002",steel – launched,intamin,52 in (132 cm),accelerator coaster,205 ft (62 m),0.0,hydraulic catch car launch,"$13,000,000",2 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,the boardwalk,1:02 (25 seconds from launch to brakes),"1,330 riders per hour",4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,windjammer surf racers,dual overbank figure 8,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 − 82 mph (132 km/h) in 2.3 seconds,single lap bar,das große lego-rennen,2002,33.8458,-118.0008,steel,2002-06-22,82 mph,132 km/h,82.0,mph,82.0,205.0,ft,91.2,0,4.0,131.96588
fujiyama (roller coaster),"6,709 ft (2,045 m)",81 mph (130 km/h),fuji-q highland,operating,july 1996,steel,togo,43.3 in (110 cm),hypercoaster,259 ft (79 m),0.0,chain,"$40,000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,3:36,"1,100 riders per hour",3.5,morgan,65°,230 ft (70 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1996,35.4859,138.777,steel,1996-07-01,81 mph,130 km/h,81.0,mph,81.0,259.0,ft,91.2,0,3.5,130.35654
yukon striker,"1,105 m (3,625 ft)",130 km/h (81 mph),canada's wonderland,operating,3 may 2019,steel – dive coaster,bolliger & mabillard,52–77[1] in (132–196 cm),dive coaster,68 m (223 ft),4.0,chain lift hill,$10 million,3 trains with 3 cars. riders are arranged 8 across in a single row for a total of 24 riders per train.,frontier canada,3:25,"1,329 riders per hour",4,werner stengel,90°,74.7 m (245 ft),24 april 2019,fast lane available,skyrider,twister,fastrack available,24 april 2019,"september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2019,43.8402,-79.543,steel,2019-05-03,130 km/h,81 mph,130.0,km/h,80.8,68.0,m,223.1,4,4.0,130.034672
thunder dolphin,"1,066 m (3,497 ft)",130 km/h (81 mph),tokyo dome city attractions,operating,"may 1, 2003",steel,intamin,130 cm (4 ft 3 in),mega coaster,80 m (260 ft),0.0,cable lift hill,"$37,000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,laqua,1:30,"1,660 riders per hour",4.4,werner stengel,80°,66 m (217 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2003,35.7063,139.7533,steel,2003-05-01,130 km/h,81 mph,130.0,km/h,80.8,80.0,m,262.5,0,4.4,130.034672
diamondback (kings island),"5,282 ft (1,610 m)",80 mph (130 km/h),kings island,operating,"april 18, 2009",other,bolliger & mabillard,54 in (137 cm),hyper coaster,230 ft (70 m),0.0,chain lift hill,$22 million,3 trains with 8 cars. riders are arranged 2 across in 2 rows for a total of 32 riders per train.,rivertown,3:00,"1,620 riders per hour",4.2,werner stengel,74°,215 ft (66 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,lap bar,das große lego-rennen,2009,39.3421,-84.2674,other,2009-04-18,80 mph,130 km/h,80.0,mph,80.0,230.0,ft,91.2,0,4.2,128.7472
desperado (roller coaster),"5,843 ft (1,781 m)",80 mph (130 km/h),primm valley resorts,closed,"august 11, 1994[1]",steel,arrow dynamics,52 in (132 cm),hypercoaster,209 ft (64 m),0.0,chain,"$30,000,000",3 trains with 5 cars. riders are arranged 2 across in 3 rows for a total of 30 riders per train.,old western times,2:43,900 riders per hour,4,ron toomer,60°,225 ft (69 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,ron toomer,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1994,35.6142,-115.3844,steel,1994-08-11,80 mph,130 km/h,80.0,mph,80.0,209.0,ft,91.2,0,4.0,128.7472
stealth (roller coaster),"400.0 m (1,312.3 ft)",80 mph (129 km/h),thorpe park,operating,15 march 2006,steel – launched,intamin,140–196 cm (4 ft 7 in–6 ft 5 in),accelerator coaster,62.5 m (205 ft),0.0,hydraulic launch track,£12 million,3 (max 2 in operation) trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,amity,1:30,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,speedway,single rider line available,over-the-shoulder,flash pass available,0 to 80 mph (0 to 129 km/h) in 1.9 seconds,single lap bar,das große lego-rennen,2006,51.405,-0.5153,steel,2006-03-15,80 mph,129 km/h,80.0,mph,80.0,62.5,m,205.1,0,4.0,128.7472
nitro (six flags great adventure),"5,394 ft (1,644 m)",80 mph (130 km/h),six flags great adventure,operating,"april 7, 2001",steel,bolliger & mabillard,54 in (137 cm),hyper coaster,230 ft (70 m),0.0,chain lift hill,"$20,000,000",3 trains with 9 cars. riders are arranged 4 across in a single row for a total of 36 riders per train.,adventure seaport,2:20,1800 riders per hour,4.3,werner stengel,68°,215 ft (66 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,l-shaped out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2001,40.1356,-74.4444,steel,2001-04-07,80 mph,130 km/h,80.0,mph,80.0,230.0,ft,91.2,0,4.3,128.7472
hypersonic xlc,"1,560 ft (480 m)",80 mph (130 km/h),kings dominion,removed,"march 24, 2001",steel – launched,s&s – sansei technologies,54 in (137 cm),thrust air 2000,165 ft (50 m),0.0,pneumatic,"$15,000,000 usd",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,the grove,16 seconds,"1,380 riders per hour",4.0,s&s – sansei technologies,90°,133 ft (41 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out-and-back,fastrack available,"april 29, 2005","october 28, 2007",1895,el dorado windseeker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0-80 in 1.8 seconds,single lap bar,das große lego-rennen,2001,37.8372,-77.446,steel,2001-03-24,80 mph,130 km/h,80.0,mph,80.0,165.0,ft,91.2,0,4.0,128.7472
silver star (roller coaster),"1,620 m (5,310 ft)",127 km/h (79 mph),europa-park,operating,23 march 2002,steel,bolliger & mabillard,55 in (140 cm),hypercoaster,73 m (240 ft),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,france,1:30,"1,750 riders per hour",4,werner stengel,68.5°,67 m (220 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2002,48.268,7.72,steel,2002-03-23,127 km/h,79 mph,127.0,km/h,78.9,73.0,m,239.5,0,4.0,126.976926
the oath of kärnan,"1,235 m (4,052 ft)",127 km/h (79 mph),hansa-park,operating,"july 1, 2015",steel,gerstlauer,130 cm (4 ft 3 in),hypercoaster,73 m (240 ft),1.0,chain lift hill,~ 26.000.000 €,3 trains with a single car. riders are arranged 4 across in 4 rows for a total of 16 riders per train.,planet snoopy,3:37 minutes,~ 200 riders per hour,5,werner stengel,90°,67 m (220 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2015,54.0769,10.78,steel,2015-07-01,127 km/h,79 mph,127.0,km/h,78.9,73.0,m,239.5,1,5.0,126.976926
